"","StopWord"
"1","a"
"2","about"
"3","above"
"4","across"
"5","after"
"6","afterwards"
"7","again"
"8","against"
"9","all"
"10","almost"
"11","alone"
"12","along"
"13","already"
"14","also"
"15","although"
"16","always"
"17","am"
"18","among"
"19","amongst"
"20","amoungst"
"21","amount"
"22","an"
"23","and"
"24","another"
"25","any"
"26","anyhow"
"27","anyone"
"28","anything"
"29","anyway"
"30","anywhere"
"31","are"
"32","around"
"33","as"
"34","at"
"35","back"
"36","be"
"37","became"
"38","because"
"39","become"
"40","becomes"
"41","becoming"
"42","been"
"43","before"
"44","beforehand"
"45","behind"
"46","being"
"47","below"
"48","beside"
"49","besides"
"50","between"
"51","beyond"
"52","bill"
"53","both"
"54","bottom"
"55","but"
"56","by"
"57","call"
"58","can"
"59","cannot"
"60","cant"
"61","co"
"62","computer"
"63","con"
"64","could"
"65","couldnt"
"66","cry"
"67","de"
"68","describe"
"69","detail"
"70","do"
"71","done"
"72","down"
"73","due"
"74","during"
"75","each"
"76","eg"
"77","eight"
"78","either"
"79","eleven"
"80","else"
"81","elsewhere"
"82","empty"
"83","enough"
"84","etc"
"85","even"
"86","ever"
"87","every"
"88","everyone"
"89","everything"
"90","everywhere"
"91","except"
"92","few"
"93","fifteen"
"94","fify"
"95","fill"
"96","find"
"97","fire"
"98","first"
"99","five"
"100","for"
"101","former"
"102","formerly"
"103","forty"
"104","found"
"105","four"
"106","from"
"107","front"
"108","full"
"109","further"
"110","get"
"111","give"
"112","go"
"113","had"
"114","has"
"115","hasnt"
"116","have"
"117","he"
"118","hence"
"119","her"
"120","here"
"121","hereafter"
"122","hereby"
"123","herein"
"124","hereupon"
"125","hers"
"126","herse"""
"127","him"
"128","himse"""
"129","his"
"130","how"
"131","however"
"132","hundred"
"133","i"
"134","ie"
"135","if"
"136","in"
"137","inc"
"138","indeed"
"139","interest"
"140","into"
"141","is"
"142","it"
"143","its"
"144","itse"""
"145","keep"
"146","last"
"147","latter"
"148","latterly"
"149","least"
"150","less"
"151","ltd"
"152","made"
"153","many"
"154","may"
"155","me"
"156","meanwhile"
"157","might"
"158","mill"
"159","mine"
"160","more"
"161","moreover"
"162","most"
"163","mostly"
"164","move"
"165","much"
"166","must"
"167","my"
"168","myse"""
"169","name"
"170","namely"
"171","neither"
"172","never"
"173","nevertheless"
"174","next"
"175","nine"
"176","no"
"177","nobody"
"178","none"
"179","noone"
"180","nor"
"181","not"
"182","nothing"
"183","now"
"184","nowhere"
"185","of"
"186","off"
"187","often"
"188","on"
"189","once"
"190","one"
"191","only"
"192","onto"
"193","or"
"194","other"
"195","others"
"196","otherwise"
"197","our"
"198","ours"
"199","ourselves"
"200","out"
"201","over"
"202","own"
"203","part"
"204","per"
"205","perhaps"
"206","please"
"207","put"
"208","rather"
"209","re"
"210","same"
"211","see"
"212","seem"
"213","seemed"
"214","seeming"
"215","seems"
"216","serious"
"217","several"
"218","she"
"219","should"
"220","show"
"221","side"
"222","since"
"223","sincere"
"224","six"
"225","sixty"
"226","so"
"227","some"
"228","somehow"
"229","someone"
"230","something"
"231","sometime"
"232","sometimes"
"233","somewhere"
"234","still"
"235","such"
"236","system"
"237","take"
"238","ten"
"239","than"
"240","that"
"241","the"
"242","their"
"243","them"
"244","themselves"
"245","then"
"246","thence"
"247","there"
"248","thereafter"
"249","thereby"
"250","therefore"
"251","therein"
"252","thereupon"
"253","these"
"254","they"
"255","thick"
"256","thin"
"257","third"
"258","this"
"259","those"
"260","though"
"261","three"
"262","through"
"263","throughout"
"264","thru"
"265","thus"
"266","to"
"267","together"
"268","too"
"269","top"
"270","toward"
"271","towards"
"272","twelve"
"273","twenty"
"274","two"
"275","un"
"276","under"
"277","until"
"278","up"
"279","upon"
"280","us"
"281","very"
"282","via"
"283","was"
"284","we"
"285","well"
"286","were"
"287","what"
"288","whatever"
"289","when"
"290","whence"
"291","whenever"
"292","where"
"293","whereafter"
"294","whereas"
"295","whereby"
"296","wherein"
"297","whereupon"
"298","wherever"
"299","whether"
"300","which"
"301","while"
"302","whither"
"303","who"
"304","whoever"
"305","whole"
"306","whom"
"307","whose"
"308","why"
"309","will"
"310","with"
"311","within"
"312","without"
"313","would"
"314","yet"
"315","you"
"316","your"
"317","yours"
"318","yourself"
"319","yourselves"
"320","\"
"321","\\"
"322","\\\"
"323","\\\\"
"324","/"
"325","//"
"326","///"
"327","////"
"328","."
"329",".."
"330","…"
"331","…."
"332",","
"333",",,"
"334",",,,"
"335",",,,,"
"336",";"
"337",";;"
"338",";;;"
"339",";;;;"
"340",":"
"341","::"
"342",":::"
"343","::::"
"344","-"
"345","__"
"346","1"
"347","2"
"348","3"
"349","4"
"350","5"
"351","6"
"352","7"
"353","8"
"354","9"
"355","10"
"356","11"
"357","12"
"358","13"
"359","14"
"360","15"
"361","16"
"362","17"
"363","18"
"364","19"
"365","20"
"366","21"
"367","22"
"368","23"
"369","24"
"370","25"
"371","26"
"372","27"
"373","28"
"374","29"
"375","30"
"376","31"
"377","32"
"378","33"
"379","34"
"380","35"
"381","36"
"382","37"
"383","38"
"384","39"
"385","40"
"386","41"
"387","42"
"388","43"
"389","44"
"390","45"
"391","46"
"392","47"
"393","48"
"394","49"
"395","50"
"396","51"
"397","52"
"398","53"
"399","54"
"400","55"
"401","56"
"402","57"
"403","58"
"404","59"
"405","60"
"406","61"
"407","62"
"408","63"
"409","64"
"410","65"
"411","66"
"412","67"
"413","68"
"414","69"
"415","70"
"416","71"
"417","72"
"418","73"
"419","74"
"420","75"
"421","76"
"422","77"
"423","78"
"424","79"
"425","80"
"426","81"
"427","82"
"428","83"
"429","84"
"430","85"
"431","86"
"432","87"
"433","88"
"434","89"
"435","90"
"436","91"
"437","92"
"438","93"
"439","94"
"440","95"
"441","96"
"442","97"
"443","98"
"444","99"
"445","100"
"446","101"
"447","102"
"448","103"
"449","104"
"450","105"
"451","106"
"452","107"
"453","108"
"454","109"
"455","110"
"456","111"
"457","112"
"458","113"
"459","114"
"460","115"
"461","116"
"462","117"
"463","118"
"464","119"
"465","120"
"466","121"
"467","122"
"468","123"
"469","124"
"470","125"
"471","126"
"472","127"
"473","128"
"474","129"
"475","130"
"476","131"
"477","132"
"478","133"
"479","134"
"480","135"
"481","136"
"482","137"
"483","138"
"484","139"
"485","140"
"486","141"
"487","142"
"488","143"
"489","144"
"490","145"
"491","146"
"492","147"
"493","148"
"494","149"
"495","150"
"496","151"
"497","152"
"498","153"
"499","154"
"500","155"
"501","156"
"502","157"
"503","158"
"504","159"
"505","160"
"506","161"
"507","162"
"508","163"
"509","164"
"510","165"
"511","166"
"512","167"
"513","168"
"514","169"
"515","170"
"516","171"
"517","172"
"518","173"
"519","174"
"520","175"
"521","176"
"522","177"
"523","178"
"524","179"
"525","180"
"526","181"
"527","182"
"528","183"
"529","184"
"530","185"
"531","186"
"532","187"
"533","188"
"534","189"
"535","190"
"536","191"
"537","192"
"538","193"
"539","194"
"540","195"
"541","196"
"542","197"
"543","198"
"544","199"
"545","200"
"546","201"
"547","202"
"548","203"
"549","204"
"550","205"
"551","206"
"552","207"
"553","208"
"554","209"
"555","210"
"556","211"
"557","212"
"558","213"
"559","214"
"560","215"
"561","216"
"562","217"
"563","218"
"564","219"
"565","220"
"566","221"
"567","222"
"568","223"
"569","224"
"570","225"
"571","226"
"572","227"
"573","228"
"574","229"
"575","230"
"576","231"
"577","232"
"578","233"
"579","234"
"580","235"
"581","236"
"582","237"
"583","238"
"584","239"
"585","240"
"586","241"
"587","242"
"588","243"
"589","244"
"590","245"
"591","246"
"592","247"
"593","248"
"594","249"
"595","250"
"596","251"
"597","252"
"598","253"
"599","254"
"600","255"
"601","256"
"602","257"
"603","258"
"604","259"
"605","260"
"606","261"
"607","262"
"608","263"
"609","264"
"610","265"
"611","266"
"612","267"
"613","268"
"614","269"
"615","270"
"616","271"
"617","272"
"618","273"
"619","274"
"620","275"
"621","276"
"622","277"
"623","278"
"624","279"
"625","280"
"626","281"
"627","282"
"628","283"
"629","284"
"630","285"
"631","286"
"632","287"
"633","288"
"634","289"
"635","290"
"636","291"
"637","292"
"638","293"
"639","294"
"640","295"
"641","296"
"642","297"
"643","298"
"644","299"
"645","300"
"646","301"
"647","302"
"648","303"
"649","304"
"650","305"
"651","306"
"652","307"
"653","308"
"654","309"
"655","310"
"656","311"
"657","312"
"658","313"
"659","314"
"660","315"
"661","316"
"662","317"
"663","318"
"664","319"
"665","320"
"666","321"
"667","322"
"668","323"
"669","324"
"670","325"
"671","326"
"672","327"
"673","328"
"674","329"
"675","330"
"676","331"
"677","332"
"678","333"
"679","334"
"680","335"
"681","336"
"682","337"
"683","338"
"684","339"
"685","340"
"686","341"
"687","342"
"688","343"
"689","344"
"690","345"
"691","346"
"692","347"
"693","348"
"694","349"
"695","350"
"696","351"
"697","352"
"698","353"
"699","354"
"700","355"
"701","356"
"702","357"
"703","358"
"704","359"
"705","360"
"706","361"
"707","362"
"708","363"
"709","364"
"710","365"
"711","366"
"712","367"
"713","368"
"714","369"
"715","370"
"716","371"
"717","372"
"718","373"
"719","374"
"720","375"
"721","376"
"722","377"
"723","378"
"724","379"
"725","380"
"726","381"
"727","382"
"728","383"
"729","384"
"730","385"
"731","386"
"732","387"
"733","388"
"734","389"
"735","390"
"736","391"
"737","392"
"738","393"
"739","394"
"740","395"
"741","396"
"742","397"
"743","398"
"744","399"
"745","400"
"746","401"
"747","402"
"748","403"
"749","404"
"750","405"
"751","406"
"752","407"
"753","408"
"754","409"
"755","410"
"756","411"
"757","412"
"758","413"
"759","414"
"760","415"
"761","416"
"762","417"
"763","418"
"764","419"
"765","420"
"766","421"
"767","422"
"768","423"
"769","424"
"770","425"
"771","426"
"772","427"
"773","428"
"774","429"
"775","430"
"776","431"
"777","432"
"778","433"
"779","434"
"780","435"
"781","436"
"782","437"
"783","438"
"784","439"
"785","440"
"786","441"
"787","442"
"788","443"
"789","444"
"790","445"
"791","446"
"792","447"
"793","448"
"794","449"
"795","450"
"796","451"
"797","452"
"798","453"
"799","454"
"800","455"
"801","456"
"802","457"
"803","458"
"804","459"
"805","460"
"806","461"
"807","462"
"808","463"
"809","464"
"810","465"
"811","466"
"812","467"
"813","468"
"814","469"
"815","470"
"816","471"
"817","472"
"818","473"
"819","474"
"820","475"
"821","476"
"822","477"
"823","478"
"824","479"
"825","480"
"826","481"
"827","482"
"828","483"
"829","484"
"830","485"
"831","486"
"832","487"
"833","488"
"834","489"
"835","490"
"836","491"
"837","492"
"838","493"
"839","494"
"840","495"
"841","496"
"842","497"
"843","498"
"844","499"
"845","500"
"846","501"
"847","502"
"848","503"
"849","504"
"850","505"
"851","506"
"852","507"
"853","508"
"854","509"
"855","510"
"856","511"
"857","512"
"858","513"
"859","514"
"860","515"
"861","516"
"862","517"
"863","518"
"864","519"
"865","520"
"866","521"
"867","522"
"868","523"
"869","524"
"870","525"
"871","526"
"872","527"
"873","528"
"874","529"
"875","530"
"876","531"
"877","532"
"878","533"
"879","534"
"880","535"
"881","536"
"882","537"
"883","538"
"884","539"
"885","540"
"886","541"
"887","542"
"888","543"
"889","544"
"890","545"
"891","546"
"892","547"
"893","548"
"894","549"
"895","550"
"896","551"
"897","552"
"898","553"
"899","554"
"900","555"
"901","556"
"902","557"
"903","558"
"904","559"
"905","560"
"906","561"
"907","562"
"908","563"
"909","564"
"910","565"
"911","566"
"912","567"
"913","568"
"914","569"
"915","570"
"916","571"
"917","572"
"918","573"
"919","574"
"920","575"
"921","576"
"922","577"
"923","578"
"924","579"
"925","580"
"926","581"
"927","582"
"928","583"
"929","584"
"930","585"
"931","586"
"932","587"
"933","588"
"934","589"
"935","590"
"936","591"
"937","592"
"938","593"
"939","594"
"940","595"
"941","596"
"942","597"
"943","598"
"944","599"
"945","600"
"946","601"
"947","602"
"948","603"
"949","604"
"950","605"
"951","606"
"952","607"
"953","608"
"954","609"
"955","610"
"956","611"
"957","612"
"958","613"
"959","614"
"960","615"
"961","616"
"962","617"
"963","618"
"964","619"
"965","620"
"966","621"
"967","622"
"968","623"
"969","624"
"970","625"
"971","626"
"972","627"
"973","628"
"974","629"
"975","630"
"976","631"
"977","632"
"978","633"
"979","634"
"980","635"
"981","636"
"982","637"
"983","638"
"984","639"
"985","640"
"986","641"
"987","642"
"988","643"
"989","644"
"990","645"
"991","646"
"992","647"
"993","648"
"994","649"
"995","650"
"996","651"
"997","652"
"998","653"
"999","654"
"1000","655"
"1001","656"
"1002","657"
"1003","658"
"1004","659"
"1005","660"
"1006","661"
"1007","662"
"1008","663"
"1009","664"
"1010","665"
"1011","666"
"1012","667"
"1013","668"
"1014","669"
"1015","670"
"1016","671"
"1017","672"
"1018","673"
"1019","674"
"1020","675"
"1021","676"
"1022","677"
"1023","678"
"1024","679"
"1025","680"
"1026","681"
"1027","682"
"1028","683"
"1029","684"
"1030","685"
"1031","686"
"1032","687"
"1033","688"
"1034","689"
"1035","690"
"1036","691"
"1037","692"
"1038","693"
"1039","694"
"1040","695"
"1041","696"
"1042","697"
"1043","698"
"1044","699"
"1045","700"
"1046","701"
"1047","702"
"1048","703"
"1049","704"
"1050","705"
"1051","706"
"1052","707"
"1053","708"
"1054","709"
"1055","710"
"1056","711"
"1057","712"
"1058","713"
"1059","714"
"1060","715"
"1061","716"
"1062","717"
"1063","718"
"1064","719"
"1065","720"
"1066","721"
"1067","722"
"1068","723"
"1069","724"
"1070","725"
"1071","726"
"1072","727"
"1073","728"
"1074","729"
"1075","730"
"1076","731"
"1077","732"
"1078","733"
"1079","734"
"1080","735"
"1081","736"
"1082","737"
"1083","738"
"1084","739"
"1085","740"
"1086","741"
"1087","742"
"1088","743"
"1089","744"
"1090","745"
"1091","746"
"1092","747"
"1093","748"
"1094","749"
"1095","750"
"1096","751"
"1097","752"
"1098","753"
"1099","754"
"1100","755"
"1101","756"
"1102","757"
"1103","758"
"1104","759"
"1105","760"
"1106","761"
"1107","762"
"1108","763"
"1109","764"
"1110","765"
"1111","766"
"1112","767"
"1113","768"
"1114","769"
"1115","770"
"1116","771"
"1117","772"
"1118","773"
"1119","774"
"1120","775"
"1121","776"
"1122","777"
"1123","778"
"1124","779"
"1125","780"
"1126","781"
"1127","782"
"1128","783"
"1129","784"
"1130","785"
"1131","786"
"1132","787"
"1133","788"
"1134","789"
"1135","790"
"1136","791"
"1137","792"
"1138","793"
"1139","794"
"1140","795"
"1141","796"
"1142","797"
"1143","798"
"1144","799"
"1145","800"
"1146","801"
"1147","802"
"1148","803"
"1149","804"
"1150","805"
"1151","806"
"1152","807"
"1153","808"
"1154","809"
"1155","810"
"1156","811"
"1157","812"
"1158","813"
"1159","814"
"1160","815"
"1161","816"
"1162","817"
"1163","818"
"1164","819"
"1165","820"
"1166","821"
"1167","822"
"1168","823"
"1169","824"
"1170","825"
"1171","826"
"1172","827"
"1173","828"
"1174","829"
"1175","830"
"1176","831"
"1177","832"
"1178","833"
"1179","834"
"1180","835"
"1181","836"
"1182","837"
"1183","838"
"1184","839"
"1185","840"
"1186","841"
"1187","842"
"1188","843"
"1189","844"
"1190","845"
"1191","846"
"1192","847"
"1193","848"
"1194","849"
"1195","850"
"1196","851"
"1197","852"
"1198","853"
"1199","854"
"1200","855"
"1201","856"
"1202","857"
"1203","858"
"1204","859"
"1205","860"
"1206","861"
"1207","862"
"1208","863"
"1209","864"
"1210","865"
"1211","866"
"1212","867"
"1213","868"
"1214","869"
"1215","870"
"1216","871"
"1217","872"
"1218","873"
"1219","874"
"1220","875"
"1221","876"
"1222","877"
"1223","878"
"1224","879"
"1225","880"
"1226","881"
"1227","882"
"1228","883"
"1229","884"
"1230","885"
"1231","886"
"1232","887"
"1233","888"
"1234","889"
"1235","890"
"1236","891"
"1237","892"
"1238","893"
"1239","894"
"1240","895"
"1241","896"
"1242","897"
"1243","898"
"1244","899"
"1245","900"
"1246","901"
"1247","902"
"1248","903"
"1249","904"
"1250","905"
"1251","906"
"1252","907"
"1253","908"
"1254","909"
"1255","910"
"1256","911"
"1257","912"
"1258","913"
"1259","914"
"1260","915"
"1261","916"
"1262","917"
"1263","918"
"1264","919"
"1265","920"
"1266","921"
"1267","922"
"1268","923"
"1269","924"
"1270","925"
"1271","926"
"1272","927"
"1273","928"
"1274","929"
"1275","930"
"1276","931"
"1277","932"
"1278","933"
"1279","934"
"1280","935"
"1281","936"
"1282","937"
"1283","938"
"1284","939"
"1285","940"
"1286","941"
"1287","942"
"1288","943"
"1289","944"
"1290","945"
"1291","946"
"1292","947"
"1293","948"
"1294","949"
"1295","950"
"1296","951"
"1297","952"
"1298","953"
"1299","954"
"1300","955"
"1301","956"
"1302","957"
"1303","958"
"1304","959"
"1305","960"
"1306","961"
"1307","962"
"1308","963"
"1309","964"
"1310","965"
"1311","966"
"1312","967"
"1313","968"
"1314","969"
"1315","970"
"1316","971"
"1317","972"
"1318","973"
"1319","974"
"1320","975"
"1321","976"
"1322","977"
"1323","978"
"1324","979"
"1325","980"
"1326","981"
"1327","982"
"1328","983"
"1329","984"
"1330","985"
"1331","986"
"1332","987"
"1333","988"
"1334","989"
"1335","990"
"1336","991"
"1337","992"
"1338","993"
"1339","994"
"1340","995"
"1341","996"
"1342","997"
"1343","998"
"1344","999"
"1345","1000"
"1346","1001"
